medv,crim,rm,age,dis,rad,tax,ptratio
23.3,0.15445,6.145,29.2,7.8148,8,284,19.7
14.4,1.62864,5.019,100.0,1.4394,4,437,21.2
20.6,4.83567,5.905,53.2,3.1523,24,666,20.2
29.9,0.06642,6.86,74.4,2.9153,5,296,16.6
22.7,2.24236,5.854,91.8,2.422,5,403,14.7
22.9,0.08829,6.012,66.6,5.5605,5,311,15.2
18.9,0.11747,6.009,82.9,6.2267,5,311,15.2
50.0,8.26725,5.875,89.6,1.1296,24,666,20.2
34.9,0.0837,7.185,38.9,4.5667,5,398,15.2
20.1,0.01965,6.23,31.5,9.0892,1,241,18.2
13.5,1.61282,6.096,96.9,3.7598,4,307,21.0
25.0,2.924,6.101,93.0,2.2834,5,403,14.7
7.2,18.0846,6.434,100.0,1.8347,24,666,20.2
20.7,0.03738,6.31,38.5,6.4584,5,224,20.2
19.8,0.12802,6.474,97.1,2.4329,5,384,20.9
43.1,0.53412,7.52,89.4,2.1398,5,264,13.0
27.5,0.14866,6.727,79.9,2.7778,5,384,20.9
24.4,0.13587,6.064,59.1,4.2392,4,277,18.6
23.1,13.5222,3.863,100.0,1.5106,24,666,20.2
27.5,4.55587,3.561,87.9,1.6132,24,666,20.2
22.3,0.0459,6.315,45.6,7.3172,6,293,16.6
24.7,0.15936,6.211,6.5,5.7209,3,233,17.9
17.6,0.20608,5.593,76.5,7.9549,7,330,19.1
14.1,10.0623,6.833,94.3,2.0882,24,666,20.2
39.8,0.06588,7.765,83.3,2.741,3,193,17.8
23.7,0.12757,6.393,7.8,7.0355,6,300,16.6
22.6,0.13642,5.891,22.3,3.9454,4,277,18.6
23.9,0.04462,6.619,70.4,5.4007,4,281,19.0
19.0,3.77498,5.952,84.7,2.8715,24,666,20.2
8.8,20.0849,4.368,91.2,1.4395,24,666,20.2
20.3,0.14103,5.79,58.0,6.32,4,289,16.0
16.3,28.6558,5.155,100.0,1.5894,24,666,20.2
32.4,0.05644,6.758,32.9,4.0776,4,254,17.6
23.2,3.56868,6.437,75.0,2.8965,24,666,20.2
19.3,0.06617,5.868,25.8,5.2146,4,430,16.9
20.4,0.13117,6.127,85.2,2.1224,5,384,20.9
17.5,0.17783,5.569,73.5,2.3999,6,391,19.2
20.1,13.0751,5.713,56.7,2.8237,24,666,20.2
21.2,0.13158,6.176,72.5,2.7301,6,432,17.8
5.6,25.0461,5.987,100.0,1.5888,24,666,20.2
23.3,1.42502,6.51,100.0,1.7659,5,403,14.7
35.4,0.01311,7.249,21.9,8.6966,5,226,17.9
34.9,0.03359,7.024,15.8,5.4011,3,252,18.3
23.1,1.05393,5.935,29.3,4.4986,4,307,21.0
23.5,0.03584,6.29,17.8,6.6115,4,337,16.1
15.4,2.73397,5.597,94.9,1.5257,5,403,14.7
22.9,0.03551,6.167,46.7,5.4007,4,281,19.0
15.2,5.44114,6.655,98.2,2.3552,24,666,20.2
8.3,24.8017,5.349,96.0,1.7028,24,666,20.2
27.1,0.05372,6.549,51.0,5.9604,4,289,16.0
14.6,2.36862,4.926,95.7,1.4608,5,403,14.7
44.8,0.31533,8.266,78.3,2.8944,8,307,17.4
22.8,0.76162,5.56,62.8,1.9865,5,264,13.0
37.0,0.09068,6.951,21.5,6.4798,5,398,15.2
23.6,0.0566,7.007,86.3,3.4217,2,270,17.8
10.5,24.3938,4.652,100.0,1.4672,24,666,20.2
20.8,3.67822,5.362,96.2,2.1036,24,666,20.2
19.6,0.85204,5.965,89.2,4.0123,4,307,21.0
37.6,0.38214,8.04,86.5,3.2157,8,307,17.4
50.0,0.05602,7.831,53.6,3.1992,3,193,17.8
19.1,2.3139,5.88,97.3,2.3887,5,403,14.7
27.9,0.03615,6.63,23.4,5.1167,4,245,19.2
19.4,0.04379,5.787,31.1,6.6115,4,337,16.1
18.6,0.07244,5.884,18.5,10.7103,4,411,18.3
22.2,0.1029,6.358,52.9,7.0355,6,300,16.6
27.5,0.62356,6.879,77.7,3.2721,8,307,17.4
33.8,0.54011,7.203,81.8,2.1121,5,264,13.0
18.0,0.32543,6.431,98.8,1.8125,4,437,21.2
22.0,0.06899,5.87,69.7,2.2577,2,188,19.1
20.6,0.04527,6.12,76.7,2.2875,1,273,21.0
23.3,0.0456,5.888,56.0,3.1121,5,276,16.4
14.8,0.95577,6.047,88.8,4.4534,4,307,21.0
16.2,0.25915,5.693,96.0,1.7883,4,437,21.2
22.6,4.26131,6.112,81.3,2.5091,24,666,20.2
11.9,0.04741,6.03,80.8,2.505,1,273,21.0
20.5,0.09299,5.961,92.9,2.0869,2,188,19.1
20.0,0.18836,5.786,33.3,5.1004,3,233,17.9
36.2,0.06888,6.144,62.2,2.5979,3,193,17.8
19.5,6.65492,6.317,83.0,2.7344,24,666,20.2
16.1,5.09017,6.297,91.8,2.3682,24,666,20.2
25.2,0.16211,6.24,16.3,4.429,3,223,18.6
19.1,5.69175,6.114,79.8,3.5459,24,666,20.2
12.3,7.99248,5.52,100.0,1.5331,24,666,20.2
18.4,5.66637,6.219,100.0,2.0048,24,666,20.2
5.0,38.3518,5.453,100.0,1.4896,24,666,20.2
18.2,0.63796,6.096,84.5,4.4619,4,307,21.0
16.5,0.02498,6.54,59.7,6.2669,1,422,15.9
28.5,0.03502,6.861,27.9,5.1167,4,245,19.2
21.9,3.69695,4.963,91.4,1.7523,24,666,20.2
36.2,0.06905,7.147,54.2,6.0622,3,222,18.7
