medv,crim,rm,age,dis,rad,tax,ptratio
24.0,0.00632,6.575,65.2,4.09,1,296,15.3
21.6,0.02731,6.421,78.9,4.9671,2,242,17.8
33.4,0.03237,6.998,45.8,6.0622,3,222,18.7
36.2,0.06905,7.147,54.2,6.0622,3,222,18.7
22.9,0.08829,6.012,66.6,5.5605,5,311,15.2
15.0,0.22489,6.377,94.3,6.3467,5,311,15.2
18.9,0.11747,6.009,82.9,6.2267,5,311,15.2
21.7,0.09378,5.889,39.0,5.4509,5,311,15.2
20.4,0.62976,5.949,61.8,4.7075,4,307,21.0
18.2,0.63796,6.096,84.5,4.4619,4,307,21.0
19.9,0.62739,5.834,56.5,4.4986,4,307,21.0
23.1,1.05393,5.935,29.3,4.4986,4,307,21.0
20.2,0.80271,5.456,36.6,3.7965,4,307,21.0
13.6,1.25179,5.57,98.1,3.7979,4,307,21.0
19.6,0.85204,5.965,89.2,4.0123,4,307,21.0
15.2,1.23247,6.142,91.7,3.9769,4,307,21.0
14.5,0.98843,5.813,100.0,4.0952,4,307,21.0
14.8,0.95577,6.047,88.8,4.4534,4,307,21.0
12.7,1.13081,5.713,94.1,4.233,4,307,21.0
14.5,1.35472,6.072,100.0,4.175,4,307,21.0
13.5,1.61282,6.096,96.9,3.7598,4,307,21.0
24.7,0.17505,5.966,30.2,3.8473,5,279,19.2
30.8,0.02763,6.595,21.8,5.4011,3,252,18.3
34.9,0.03359,7.024,15.8,5.4011,3,252,18.3
25.3,0.1415,6.169,6.6,5.7209,3,233,17.9
24.7,0.15936,6.211,6.5,5.7209,3,233,17.9
21.2,0.12269,6.069,40.0,5.7209,3,233,17.9
19.3,0.17142,5.682,33.8,5.1004,3,233,17.9
20.0,0.18836,5.786,33.3,5.1004,3,233,17.9
16.6,0.22927,6.03,85.5,5.6894,3,233,17.9
19.4,0.21977,5.602,62.0,6.0877,3,233,17.9
19.7,0.08873,5.963,45.7,6.8147,4,243,16.8
20.5,0.04337,6.115,63.0,6.8147,4,243,16.8
23.4,0.04981,5.998,21.4,6.8147,4,243,16.8
18.9,0.0136,5.888,47.6,7.3197,3,469,21.1
35.4,0.01311,7.249,21.9,8.6966,5,226,17.9
24.7,0.02055,6.383,35.7,9.1876,2,313,17.3
31.6,0.01432,6.816,40.5,8.3248,5,256,15.1
23.3,0.15445,6.145,29.2,7.8148,8,284,19.7
18.7,0.14932,5.741,66.2,7.2254,8,284,19.7
16.0,0.17171,5.966,93.4,6.8185,8,284,19.7
25.0,0.1265,6.762,43.4,7.9809,8,284,19.7
33.0,0.01951,7.104,59.5,9.2229,3,216,18.6
23.5,0.03584,6.29,17.8,6.6115,4,337,16.1
19.4,0.04379,5.787,31.1,6.6115,4,337,16.1
22.0,0.05789,5.878,21.4,6.498,4,345,18.9
17.4,0.13554,5.594,36.8,6.498,4,345,18.9
24.2,0.08826,6.417,6.6,5.2873,4,305,19.2
22.8,0.09164,6.065,7.8,5.2873,4,305,19.2
23.4,0.19539,6.245,6.2,5.2873,4,305,19.2
24.1,0.07896,6.273,6.0,4.2515,5,398,18.7
21.4,0.09512,6.286,45.0,4.5026,5,398,18.7
20.0,0.10153,6.279,74.5,4.0522,5,398,18.7
20.8,0.08707,6.14,45.8,4.0905,5,398,18.7
28.0,0.04113,6.727,33.5,5.4007,4,281,19.0
23.9,0.04462,6.619,70.4,5.4007,4,281,19.0
22.9,0.03551,6.167,46.7,5.4007,4,281,19.0
23.9,0.05059,6.389,48.0,4.7794,3,247,18.5
26.6,0.05735,6.63,56.1,4.4377,3,247,18.5
22.5,0.05188,6.015,45.1,4.4272,3,247,18.5
22.2,0.07151,6.121,56.8,3.7476,3,247,18.5
23.6,0.0566,7.007,86.3,3.4217,2,270,17.8
28.7,0.05302,7.079,63.1,3.4145,2,270,17.8
22.6,0.04684,6.417,66.1,3.0923,2,270,17.8
25.0,0.02875,6.211,28.9,3.6659,4,270,18.2
20.6,0.04294,6.249,77.3,3.615,4,270,18.2
21.4,0.11504,6.163,69.6,3.4952,2,276,18.0
27.5,0.14866,6.727,79.9,2.7778,5,384,20.9
26.5,0.11432,6.781,71.3,2.8561,5,384,20.9
18.6,0.22876,6.405,85.4,2.7147,5,384,20.9
19.3,0.21161,6.137,87.4,2.7147,5,384,20.9
19.5,0.1712,5.836,91.9,2.211,5,384,20.9
20.4,0.13117,6.127,85.2,2.1224,5,384,20.9
19.8,0.12802,6.474,97.1,2.4329,5,384,20.9
19.4,0.26363,6.229,91.2,2.5451,5,384,20.9
22.8,0.10084,6.715,81.6,2.6775,6,432,17.8
18.5,0.14231,6.254,84.2,2.2565,6,432,17.8
21.2,0.13158,6.176,72.5,2.7301,6,432,17.8
19.2,0.15098,6.021,82.6,2.7474,6,432,17.8
20.4,0.13058,5.872,73.1,2.4775,6,432,17.8
19.3,0.14476,5.731,65.2,2.7592,6,432,17.8
22.0,0.06899,5.87,69.7,2.2577,2,188,19.1
20.3,0.07165,6.004,84.1,2.1974,2,188,19.1
20.5,0.09299,5.961,92.9,2.0869,2,188,19.1
17.3,0.15038,5.856,97.0,1.9444,2,188,19.1
18.8,0.09849,5.879,95.8,2.0063,2,188,19.1
15.7,0.38735,5.613,95.6,1.7572,2,188,19.1
16.2,0.25915,5.693,96.0,1.7883,4,437,21.2
18.0,0.32543,6.431,98.8,1.8125,4,437,21.2
19.6,1.19294,6.326,97.7,2.271,4,437,21.2
18.4,0.32982,5.822,95.4,2.4699,4,437,21.2
15.6,0.97617,5.757,98.4,2.346,4,437,21.2
17.4,0.32264,5.942,93.5,1.9669,4,437,21.2
17.1,0.35233,6.454,98.4,1.8498,4,437,21.2
13.3,0.2498,5.857,98.2,1.6686,4,437,21.2
17.8,0.54452,6.151,97.9,1.6687,4,437,21.2
14.4,1.62864,5.019,100.0,1.4394,4,437,21.2
13.4,3.32105,5.403,100.0,1.3216,5,403,14.7
13.8,2.37934,6.13,100.0,1.4191,5,403,14.7
14.6,2.36862,4.926,95.7,1.4608,5,403,14.7
17.8,2.33099,5.186,93.8,1.5296,5,403,14.7
15.4,2.73397,5.597,94.9,1.5257,5,403,14.7
21.5,1.6566,6.122,97.3,1.618,5,403,14.7
19.4,2.14918,5.709,98.5,1.6232,5,403,14.7
17.0,1.41385,6.129,96.0,1.7494,5,403,14.7
13.1,2.44668,5.272,94.0,1.7364,5,403,14.7
24.3,1.34284,6.066,100.0,1.7573,5,403,14.7
23.3,1.42502,6.51,100.0,1.7659,5,403,14.7
27.0,1.27346,6.25,92.6,1.7984,5,403,14.7
50.0,1.46336,7.489,90.8,1.9709,5,403,14.7
50.0,1.51902,8.375,93.9,2.162,5,403,14.7
22.7,2.24236,5.854,91.8,2.422,5,403,14.7
25.0,2.924,6.101,93.0,2.2834,5,403,14.7
50.0,2.01019,7.929,96.2,2.0459,5,403,14.7
23.8,1.80028,5.877,79.2,2.4259,5,403,14.7
22.3,2.44953,6.402,95.2,2.2625,5,403,14.7
17.4,1.20742,5.875,94.6,2.4259,5,403,14.7
19.1,2.3139,5.88,97.3,2.3887,5,403,14.7
23.1,0.13914,5.572,88.5,2.5961,5,296,16.6
23.6,0.09178,6.416,84.1,2.6463,5,296,16.6
22.6,0.08447,5.859,68.7,2.7019,5,296,16.6
29.4,0.06664,6.546,33.1,3.1323,5,296,16.6
23.2,0.07022,6.02,47.2,3.5549,5,296,16.6
24.6,0.05425,6.315,73.4,3.3175,5,296,16.6
29.9,0.06642,6.86,74.4,2.9153,5,296,16.6
37.2,0.0578,6.98,58.4,2.829,3,193,17.8
39.8,0.06588,7.765,83.3,2.741,3,193,17.8
36.2,0.06888,6.144,62.2,2.5979,3,193,17.8
37.9,0.09103,7.155,92.2,2.7006,3,193,17.8
32.5,0.10008,6.563,95.6,2.847,3,193,17.8
50.0,0.05602,7.831,53.6,3.1992,3,193,17.8
32.0,0.07875,6.782,41.1,3.7886,5,398,15.2
34.9,0.0837,7.185,38.9,4.5667,5,398,15.2
37.0,0.09068,6.951,21.5,6.4798,5,398,15.2
30.5,0.06911,6.739,30.8,6.4798,5,398,15.2
36.4,0.08664,7.178,26.3,6.4798,5,398,15.2
31.1,0.02187,6.8,9.9,6.2196,1,265,15.6
29.1,0.01439,6.604,18.8,6.2196,1,265,15.6
30.3,0.04666,7.107,36.6,7.309,2,329,12.6
32.9,0.01778,7.135,13.9,7.6534,3,402,17.0
24.1,0.03445,6.162,38.4,6.27,2,348,14.7
48.5,0.0351,7.853,33.2,5.118,4,224,14.7
50.0,0.02009,8.034,31.9,5.118,4,224,14.7
22.6,0.13642,5.891,22.3,3.9454,4,277,18.6
24.4,0.22969,6.326,52.5,4.3549,4,277,18.6
24.4,0.13587,6.064,59.1,4.2392,4,277,18.6
19.3,0.37578,5.404,88.6,3.665,4,277,18.6
28.1,0.14052,6.375,32.3,3.9454,4,277,18.6
23.7,0.28955,5.412,9.8,3.5875,4,277,18.6
23.3,0.0456,5.888,56.0,3.1121,5,276,16.4
21.7,0.40771,6.164,91.3,3.048,8,307,17.4
27.5,0.62356,6.879,77.7,3.2721,8,307,17.4
30.1,0.6147,6.618,80.8,3.2721,8,307,17.4
44.8,0.31533,8.266,78.3,2.8944,8,307,17.4
50.0,0.52693,8.725,83.0,2.8944,8,307,17.4
37.6,0.38214,8.04,86.5,3.2157,8,307,17.4
31.6,0.41238,7.163,79.9,3.2157,8,307,17.4
31.5,0.44178,6.552,21.4,3.3751,8,307,17.4
24.3,0.537,5.981,68.1,3.6715,8,307,17.4
41.7,0.57529,8.337,73.3,3.8384,8,307,17.4
48.3,0.33147,8.247,70.4,3.6519,8,307,17.4
29.0,0.44791,6.726,66.5,3.6519,8,307,17.4
24.0,0.33045,6.086,61.5,3.6519,8,307,17.4
25.1,0.52058,6.631,76.5,4.148,8,307,17.4
22.0,0.11329,6.897,54.3,6.3361,6,300,16.6
22.2,0.1029,6.358,52.9,7.0355,6,300,16.6
23.7,0.12757,6.393,7.8,7.0355,6,300,16.6
17.6,0.20608,5.593,76.5,7.9549,7,330,19.1
24.3,0.33983,6.108,34.9,8.0555,7,330,19.1
24.5,0.16439,6.433,49.1,7.8265,7,330,19.1
26.2,0.19073,6.718,17.5,7.8265,7,330,19.1
24.4,0.1403,6.487,13.0,7.3967,7,330,19.1
24.8,0.21409,6.438,8.9,7.3967,7,330,19.1
42.8,0.36894,8.259,8.4,8.9067,7,330,19.1
33.8,0.54011,7.203,81.8,2.1121,5,264,13.0
43.1,0.53412,7.52,89.4,2.1398,5,264,13.0
48.8,0.52014,8.398,91.5,2.2885,5,264,13.0
31.0,0.82526,7.327,94.5,2.0788,5,264,13.0
36.5,0.55007,7.206,91.6,1.9301,5,264,13.0
22.8,0.76162,5.56,62.8,1.9865,5,264,13.0
30.7,0.7857,7.014,84.6,2.1329,5,264,13.0
43.5,0.5405,7.47,52.6,2.872,5,264,13.0
25.2,0.16211,6.24,16.3,4.429,3,223,18.6
24.4,0.1146,6.538,58.7,3.9175,3,223,18.6
35.2,0.22188,7.691,51.8,4.3665,3,223,18.6
32.4,0.05644,6.758,32.9,4.0776,4,254,17.6
35.1,0.21038,6.812,32.2,4.1007,5,216,14.9
35.4,0.03705,6.968,37.2,5.2447,5,216,14.9
46.0,0.06129,7.645,49.7,5.2119,5,216,14.9
50.0,0.01501,7.923,24.8,5.885,1,198,13.6
32.2,0.00906,7.088,20.8,7.3073,1,285,15.3
22.0,0.01096,6.453,31.9,7.3073,1,300,15.3
20.1,0.01965,6.23,31.5,9.0892,1,241,18.2
22.3,0.0459,6.315,45.6,7.3172,6,293,16.6
28.5,0.03502,6.861,27.9,5.1167,4,245,19.2
27.9,0.03615,6.63,23.4,5.1167,4,245,19.2
23.9,0.08265,6.127,18.4,5.5027,4,289,16.0
27.1,0.05372,6.549,51.0,5.9604,4,289,16.0
20.3,0.14103,5.79,58.0,6.32,4,289,16.0
22.0,0.03537,6.59,40.4,5.4917,7,329,16.1
26.4,0.09266,6.495,18.4,5.4917,7,329,16.1
33.1,0.1,6.982,17.7,5.4917,7,329,16.1
36.1,0.05515,7.236,41.1,4.022,7,222,18.4
28.4,0.05479,6.616,58.1,3.37,7,222,18.4
33.4,0.07503,7.42,71.9,3.0992,7,222,18.4
22.8,0.49298,6.635,82.5,3.3175,4,304,18.4
20.3,0.3494,5.972,76.7,3.1025,4,304,18.4
16.1,2.63548,4.973,37.8,2.5194,4,304,18.4
22.1,0.79041,6.122,52.8,2.6403,4,304,18.4
19.4,0.26169,6.023,90.4,2.834,4,304,18.4
16.2,0.25356,5.705,77.7,3.945,4,304,18.4
17.8,0.31827,5.914,83.2,3.9986,4,304,18.4
19.8,0.24522,5.782,71.7,4.0317,4,304,18.4
23.1,0.40202,6.382,67.2,3.5325,4,304,18.4
23.8,0.1676,6.426,52.3,4.5404,5,287,19.6
25.0,0.34109,6.415,40.1,4.7211,5,287,19.6
24.6,0.19186,6.431,14.7,5.4159,5,287,19.6
22.2,0.24103,6.083,43.7,5.4159,5,287,19.6
19.3,0.06617,5.868,25.8,5.2146,4,430,16.9
19.8,0.04544,6.144,32.2,5.8736,4,430,16.9
22.2,0.05083,6.316,38.1,6.4584,5,224,20.2
20.7,0.03738,6.31,38.5,6.4584,5,224,20.2
19.5,0.03427,5.869,46.3,5.2311,5,224,20.2
20.6,0.03306,6.059,37.3,4.8122,5,224,20.2
19.0,0.05497,5.985,45.4,4.8122,5,224,20.2
18.7,0.06151,5.968,58.5,4.8122,5,224,20.2
32.7,0.01301,7.241,49.3,7.0379,1,284,15.5
16.5,0.02498,6.54,59.7,6.2669,1,422,15.9
23.9,0.02543,6.696,56.4,5.7321,5,370,17.6
31.2,0.03049,6.874,28.1,6.4654,5,370,17.6
23.1,0.0187,6.516,27.7,8.5353,4,351,17.9
24.5,0.01501,6.635,29.7,8.344,4,280,17.0
26.6,0.02899,6.939,34.5,8.7921,1,335,19.7
18.6,0.07244,5.884,18.5,10.7103,4,411,18.3
17.8,8.98296,6.212,97.4,2.1222,24,666,20.2
21.7,3.8497,6.395,91.0,2.5052,24,666,20.2
22.7,5.20177,6.127,83.4,2.7227,24,666,20.2
22.6,4.26131,6.112,81.3,2.5091,24,666,20.2
25.0,4.54192,6.398,88.0,2.5182,24,666,20.2
20.8,3.67822,5.362,96.2,2.1036,24,666,20.2
27.5,4.55587,3.561,87.9,1.6132,24,666,20.2
21.9,3.69695,4.963,91.4,1.7523,24,666,20.2
23.1,13.5222,3.863,100.0,1.5106,24,666,20.2
50.0,4.89822,4.97,100.0,1.3325,24,666,20.2
50.0,6.53876,7.016,97.5,1.2024,24,666,20.2
50.0,9.2323,6.216,100.0,1.1691,24,666,20.2
50.0,8.26725,5.875,89.6,1.1296,24,666,20.2
13.8,11.1081,4.906,100.0,1.1742,24,666,20.2
13.8,18.4982,4.138,100.0,1.137,24,666,20.2
13.9,15.288,6.649,93.3,1.3449,24,666,20.2
13.3,9.82349,6.794,98.8,1.358,24,666,20.2
11.3,9.18702,5.536,100.0,1.5804,24,666,20.2
12.3,7.99248,5.52,100.0,1.5331,24,666,20.2
8.8,20.0849,4.368,91.2,1.4395,24,666,20.2
10.5,24.3938,4.652,100.0,1.4672,24,666,20.2
7.4,22.5971,5.0,89.5,1.5184,24,666,20.2
11.5,8.15174,5.39,98.9,1.7281,24,666,20.2
23.2,5.29305,6.051,82.5,2.1678,24,666,20.2
9.7,11.5779,5.036,97.0,1.77,24,666,20.2
12.7,13.3598,5.887,94.7,1.7821,24,666,20.2
12.5,5.87205,6.405,96.0,1.6768,24,666,20.2
5.0,38.3518,5.453,100.0,1.4896,24,666,20.2
5.6,25.0461,5.987,100.0,1.5888,24,666,20.2
7.2,14.2362,6.343,100.0,1.5741,24,666,20.2
8.3,24.8017,5.349,96.0,1.7028,24,666,20.2
27.9,11.9511,5.608,100.0,1.2852,24,666,20.2
17.2,7.40389,5.617,97.9,1.4547,24,666,20.2
16.3,28.6558,5.155,100.0,1.5894,24,666,20.2
7.0,45.7461,4.519,100.0,1.6582,24,666,20.2
7.2,18.0846,6.434,100.0,1.8347,24,666,20.2
10.4,25.9406,5.304,89.1,1.6475,24,666,20.2
8.8,73.5341,5.957,100.0,1.8026,24,666,20.2
8.4,11.8123,6.824,76.5,1.794,24,666,20.2
11.7,8.79212,5.565,70.6,2.0635,24,666,20.2
8.3,15.8603,5.896,95.4,1.9096,24,666,20.2
10.9,37.6619,6.202,78.7,1.8629,24,666,20.2
11.0,7.36711,6.193,78.1,1.9356,24,666,20.2
9.5,9.33889,6.38,95.6,1.9682,24,666,20.2
14.1,10.0623,6.833,94.3,2.0882,24,666,20.2
16.1,6.44405,6.425,74.8,2.2004,24,666,20.2
14.3,5.58107,6.436,87.9,2.3158,24,666,20.2
11.7,13.9134,6.208,95.0,2.2222,24,666,20.2
8.7,15.1772,6.152,100.0,1.9142,24,666,20.2
12.8,9.39063,5.627,93.9,1.8172,24,666,20.2
10.5,22.0511,5.818,92.4,1.8662,24,666,20.2
17.1,9.72418,6.406,97.2,2.0651,24,666,20.2
18.4,5.66637,6.219,100.0,2.0048,24,666,20.2
15.4,9.96654,6.485,100.0,1.9784,24,666,20.2
10.8,12.8023,5.854,96.6,1.8956,24,666,20.2
11.8,10.6718,6.459,94.8,1.9879,24,666,20.2
12.6,9.92485,6.251,96.6,2.198,24,666,20.2
14.1,9.32909,6.185,98.7,2.2616,24,666,20.2
15.2,5.44114,6.655,98.2,2.3552,24,666,20.2
16.1,5.09017,6.297,91.8,2.3682,24,666,20.2
17.8,8.24809,7.393,99.3,2.4527,24,666,20.2
14.1,4.75237,6.525,86.5,2.4358,24,666,20.2
13.5,8.20058,5.936,80.3,2.7792,24,666,20.2
14.9,7.75223,6.301,83.7,2.7831,24,666,20.2
20.0,6.80117,6.081,84.4,2.7175,24,666,20.2
16.4,4.81213,6.701,90.0,2.5975,24,666,20.2
17.7,3.69311,6.376,88.4,2.5671,24,666,20.2
19.5,6.65492,6.317,83.0,2.7344,24,666,20.2
20.2,5.82115,6.513,89.9,2.8016,24,666,20.2
21.4,7.83932,6.209,65.4,2.9634,24,666,20.2
19.9,3.1636,5.759,48.2,3.0665,24,666,20.2
19.0,3.77498,5.952,84.7,2.8715,24,666,20.2
19.1,4.42228,6.003,94.5,2.5403,24,666,20.2
19.1,15.5757,5.926,71.0,2.9084,24,666,20.2
20.1,13.0751,5.713,56.7,2.8237,24,666,20.2
19.6,4.03841,6.229,90.7,3.0993,24,666,20.2
23.2,3.56868,6.437,75.0,2.8965,24,666,20.2
13.8,8.05579,5.427,95.4,2.4298,24,666,20.2
16.7,4.87141,6.484,93.6,2.3053,24,666,20.2
12.0,15.0234,5.304,97.3,2.1007,24,666,20.2
14.6,10.233,6.185,96.7,2.1705,24,666,20.2
21.4,14.3337,6.229,88.0,1.9512,24,666,20.2
23.0,5.82401,6.242,64.7,3.4242,24,666,20.2
23.7,5.70818,6.75,74.9,3.3317,24,666,20.2
21.8,2.81838,5.762,40.3,4.0983,24,666,20.2
20.6,2.37857,5.871,41.9,3.724,24,666,20.2
19.1,5.69175,6.114,79.8,3.5459,24,666,20.2
20.6,4.83567,5.905,53.2,3.1523,24,666,20.2
15.2,0.15086,5.454,92.7,1.8209,4,711,20.1
8.1,0.20746,5.093,98.0,1.8226,4,711,20.1
13.6,0.10574,5.983,98.8,1.8681,4,711,20.1
20.1,0.11132,5.983,83.5,2.1099,4,711,20.1
21.8,0.17331,5.707,54.0,2.3817,6,391,19.2
18.3,0.26838,5.794,70.6,2.8927,6,391,19.2
17.5,0.17783,5.569,73.5,2.3999,6,391,19.2
22.4,0.06263,6.593,69.1,2.4786,1,273,21.0
20.6,0.04527,6.12,76.7,2.2875,1,273,21.0
23.9,0.06076,6.976,91.0,2.1675,1,273,21.0
11.9,0.04741,6.03,80.8,2.505,1,273,21.0
